consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-4..10,217,217,0,140,77,1.69e-02
NMD_transcript_variant&intron_variant,ins,+11..50,206,206,0,197,9,1.77e-02
3_prime_UTR_variant&NMD_transcript_variant,ins,+11..50,206,206,0,206,0,1.77e-02
NMD_transcript_variant&intron_variant,ins,+2,204,204,0,204,0,1.79e-02
3_prime_UTR_variant,del,-4..10,203,203,0,203,0,1.80e-02
intron_variant&splice_donor_region_variant,del,-1,202,202,0,202,0,1.81e-02
NMD_transcript_variant&intron_variant,ins,+4..10,199,199,0,199,0,1.84e-02
NMD_transcript_variant&intron_variant&splice_region_variant,ins,+1,198,198,0,31,167,1.85e-02
NMD_transcript_variant&start_lost,snv,0,197,197,0,197,0,1.86e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+1,195,195,0,173,22,1.87e-02
non_coding_transcript_exon_variant,ins,+2,194,194,0,191,3,1.88e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,ins,+1,193,193,0,193,0,1.89e-02
upstream_gene_variant,ins,+2,190,190,0,190,0,1.92e-02
intron_variant&non_coding_transcript_variant,del,-11..50,190,190,0,190,0,1.92e-02
NMD_transcript_variant&splice_donor_variant,del,-1,189,189,0,189,0,1.93e-02
upstream_gene_variant,ins,+3,187,187,0,187,0,1.95e-02
NMD_transcript_variant&splice_region_variant&stop_gained,snv,0,187,187,0,187,0,1.95e-02
non_coding_transcript_exon_variant,del,-11..50,185,185,0,185,0,1.97e-02
intron_variant,ins,+3,182,182,0,182,0,2.01e-02
inframe_deletion&splice_region_variant,del,-3,180,180,0,143,37,2.03e-02
3_prime_UTR_variant&NMD_transcript_variant,ins,+2,171,171,0,170,1,2.13e-02
NMD_transcript_variant&intron_variant,del,-11..50,171,171,0,171,0,2.13e-02
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,del,-1,165,165,0,165,0,2.21e-02
intron_variant&splice_polypyrimidine_tract_variant,ins,+2,162,162,0,162,0,2.25e-02
frameshift_variant&splice_region_variant,ins,+1,157,157,0,157,0,2.32e-02
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-3,157,157,0,134,23,2.32e-02
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-2,156,156,0,135,21,2.34e-02
intron_variant&splice_donor_region_variant,ins,+1,155,155,0,78,77,2.35e-02
3_prime_UTR_variant,ins,+1,154,154,0,154,0,2.37e-02
NMD_transcript_variant&frameshift_variant,del,-11..50,152,152,0,152,0,2.40e-02
NMD_transcript_variant&frameshift_variant,ins,+2,150,150,0,150,0,2.43e-02
frameshift_variant&stop_gained,ins,+1,149,149,0,0,149,2.45e-02
intron_variant&non_coding_transcript_variant,ins,+11..50,148,148,0,143,5,2.46e-02
NMD_transcript_variant&intron_variant,mnv,0,142,142,0,142,0,2.56e-02
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+4..10,139,139,0,139,0,2.62e-02
5_prime_UTR_variant,del,-1,138,138,0,138,0,2.64e-02
NMD_transcript_variant&inframe_deletion,del,-11..50,134,134,0,134,0,2.72e-02
3_prime_UTR_variant,del,-1,133,133,0,133,0,2.74e-02
intron_variant&splice_region_variant,ins,+4..10,130,130,0,65,65,2.80e-02
stop_gained,mnv,0,124,124,0,7,117,2.93e-02
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,mnv,0,122,122,0,89,33,2.98e-02
frameshift_variant&stop_gained,ins,+4..10,120,120,0,0,120,3.03e-02
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+3,114,114,0,114,0,3.18e-02
coding_sequence_variant&intron_variant&splice_acceptor_variant,del,-11..50,110,110,0,0,110,3.30e-02
frameshift_variant&stop_gained,ins,+>50,110,110,0,0,110,3.30e-02
inframe_insertion&splice_region_variant,ins,+11..50,109,109,0,109,0,3.33e-02
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,107,107,0,0,107,3.39e-02
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,del,-1,106,106,0,106,0,3.42e-02
non_coding_transcript_exon_variant,ins,+3,104,104,0,104,0,3.48e-02
NMD_transcript_variant&inframe_insertion,ins,+11..50,101,101,0,101,0,3.59e-02
NMD_transcript_variant&stop_lost,snv,0,100,100,0,100,0,3.62e-02
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-1,98,98,0,98,0,3.69e-02
coding_sequence_variant&intron_variant&splice_donor_region_variant&splice_donor_variant,del,-4..10,97,97,0,0,97,3.73e-02
coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-11..50,96,96,0,0,96,3.77e-02
frameshift_variant&splice_region_variant,del,-11..50,94,94,0,47,47,3.85e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-4..10,94,94,0,62,32,3.85e-02
3_prime_UTR_variant&NMD_transcript_variant,ins,+3,93,93,0,93,0,3.89e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-3,93,93,0,91,2,3.89e-02
